Jahr;Monat;Jahr und Monat;Geschlecht;Altersgruppe;Anzahl Verstorbene;Mittlere Bevölkerung;Rohe Sterbeziffer pro 1000 Einwohner;Erwartete Anzahl Verstorbene;Mittlere Referenzbevölkerung;Standardisierte Sterberate
2012;1;2012-01-01;Männer;0-4;;4313;0.0;0;4313;0.0
2012;2;2012-02-01;Männer;0-4;1;4326;0.231;1;4313;0.231
2012;4;2012-04-01;Männer;0-4;;4386;0.0;0;4313;0.0
2012;7;2012-07-01;Männer;0-4;;4401;0.0;0;4313;0.0
2012;11;2012-11-01;Männer;0-4;1;4431;0.226;1;4313;0.226
2012;12;2012-12-01;Männer;0-4;;4438;0.0;0;4313;0.0
2013;3;2013-03-01;Männer;0-4;1;4499;0.222;1;4313;0.222
2013;6;2013-06-01;Männer;0-4;1;4583;0.218;1;4313;0.218
2013;7;2013-07-01;Männer;0-4;2;4594;0.435;2;4313;0.435
2013;12;2013-12-01;Männer;0-4;1;4656;0.215;1;4313;0.215
2014;3;2014-03-01;Männer;0-4;1;4695;0.213;1;4313;0.213
2014;6;2014-06-01;Männer;0-4;;4701;0.0;0;4313;0.0
2014;9;2014-09-01;Männer;0-4;;4733;0.0;0;4313;0.0
2015;5;2015-05-01;Männer;0-4;1;4762;0.21;1;4313;0.21
2015;9;2015-09-01;Männer;0-4;1;4740;0.211;1;4313;0.211
2015;12;2015-12-01;Männer;0-4;;4768;0.0;0;4313;0.0
2016;2;2016-02-01;Männer;0-4;;4798;0.0;0;4313;0.0
2016;3;2016-03-01;Männer;0-4;1;4811;0.208;1;4313;0.208
2016;4;2016-04-01;Männer;0-4;;4807;0.0;0;4313;0.0
2016;5;2016-05-01;Männer;0-4;;4804;0.0;0;4313;0.0
2016;6;2016-06-01;Männer;0-4;;4798;0.0;0;4313;0.0
2016;7;2016-07-01;Männer;0-4;;4784;0.0;0;4313;0.0
2016;8;2016-08-01;Männer;0-4;;4781;0.0;0;4313;0.0
2016;10;2016-10-01;Männer;0-4;;4781;0.0;0;4313;0.0
2016;12;2016-12-01;Männer;0-4;1;4789;0.209;1;4313;0.209
2017;2;2017-02-01;Männer;0-4;;4791;0.0;0;4313;0.0
2017;10;2017-10-01;Männer;0-4;;4813;0.0;0;4313;0.0
2018;3;2018-03-01;Männer;0-4;;4862;0.0;0;4313;0.0
2018;7;2018-07-01;Männer;0-4;;4841;0.0;0;4313;0.0
2018;8;2018-08-01;Männer;0-4;;4852;0.0;0;4313;0.0
2018;9;2018-09-01;Männer;0-4;;4858;0.0;0;4313;0.0
2018;10;2018-10-01;Männer;0-4;2;4894;0.409;2;4313;0.409
2018;11;2018-11-01;Männer;0-4;1;4959;0.202;1;4313;0.202
2019;1;2019-01-01;Männer;0-4;1;4967;0.201;1;4313;0.201
2019;2;2019-02-01;Männer;0-4;;4963;0.0;0;4313;0.0
2019;4;2019-04-01;Männer;0-4;;4955;0.0;0;4313;0.0
2019;6;2019-06-01;Männer;0-4;;4919;0.0;0;4313;0.0
2019;8;2019-08-01;Männer;0-4;;4889;0.0;0;4313;0.0
2020;2;2020-02-01;Männer;0-4;;4881;0.0;0;4313;0.0
2020;3;2020-03-01;Männer;0-4;1;4887;0.205;1;4313;0.205
2020;5;2020-05-01;Männer;0-4;;4897;0.0;0;4313;0.0
2020;6;2020-06-01;Männer;0-4;;4897;0.0;0;4313;0.0
2020;9;2020-09-01;Männer;0-4;1;4878;0.205;1;4313;0.205
2020;11;2020-11-01;Männer;0-4;1;4843;0.207;1;4313;0.207
2021;1;2021-01-01;Männer;0-4;1;4832;0.207;1;4313;0.207
2021;2;2021-02-01;Männer;0-4;1;4802;0.208;1;4313;0.208
2021;5;2021-05-01;Männer;0-4;;4856;0.0;0;4313;0.0
2021;6;2021-06-01;Männer;0-4;;4843;0.0;0;4313;0.0
2021;9;2021-09-01;Männer;0-4;;4814;0.0;0;4313;0.0
2021;10;2021-10-01;Männer;0-4;;4810;0.0;0;4313;0.0
2022;5;2022-05-01;Männer;0-4;1;4821;0.207;1;4313;0.207
2022;6;2022-06-01;Männer;0-4;1;4818;0.208;1;4313;0.208
2022;9;2022-09-01;Männer;0-4;1;4740;0.211;1;4313;0.211
2022;12;2022-12-01;Männer;0-4;;4746;0.0;0;4313;0.0
2023;2;2023-02-01;Männer;0-4;;4741;0.0;0;4313;0.0
2023;3;2023-03-01;Männer;0-4;1;4728;0.212;1;4313;0.212
2023;5;2023-05-01;Männer;0-4;1;4715;0.212;1;4313;0.212
2023;8;2023-08-01;Männer;0-4;;4756;0.0;0;4313;0.0
2024;1;2024-01-01;Männer;0-4;1;4719;0.212;1;4313;0.212
2024;2;2024-02-01;Männer;0-4;;4741;0.0;0;4313;0.0
2024;4;2024-04-01;Männer;0-4;1;4765;0.21;1;4313;0.21
2024;7;2024-07-01;Männer;0-4;;4779;0.0;0;4313;0.0
2024;8;2024-08-01;Männer;0-4;;4768;0.0;0;4313;0.0
2024;9;2024-09-01;Männer;0-4;;4739;0.0;0;4313;0.0
2025;1;2025-01-01;Männer;0-4;;4702;0.0;0;4313;0.0
2025;2;2025-02-01;Männer;0-4;1;4715;0.212;1;4313;0.212
2025;4;2025-04-01;Männer;0-4;1;4738;0.211;1;4313;0.211
2025;5;2025-05-01;Männer;0-4;2;4732;0.423;2;4313;0.423
2012;4;2012-04-01;Männer;10-14;;3768;0.0;0;3773;0.0
2012;5;2012-05-01;Männer;10-14;;3768;0.0;0;3773;0.0
2012;6;2012-06-01;Männer;10-14;;3775;0.0;0;3773;0.0
2012;9;2012-09-01;Männer;10-14;;3788;0.0;0;3773;0.0
2012;11;2012-11-01;Männer;10-14;;3774;0.0;0;3773;0.0
2012;12;2012-12-01;Männer;10-14;;3776;0.0;0;3773;0.0
2013;6;2013-06-01;Männer;10-14;;3752;0.0;0;3773;0.0
2013;7;2013-07-01;Männer;10-14;;3772;0.0;0;3773;0.0
2013;8;2013-08-01;Männer;10-14;;3782;0.0;0;3773;0.0
2013;11;2013-11-01;Männer;10-14;;3789;0.0;0;3773;0.0
2013;12;2013-12-01;Männer;10-14;;3798;0.0;0;3773;0.0
2014;9;2014-09-01;Männer;10-14;;3787;0.0;0;3773;0.0
2014;12;2014-12-01;Männer;10-14;;3803;0.0;0;3773;0.0
2015;5;2015-05-01;Männer;10-14;;3793;0.0;0;3773;0.0
2015;6;2015-06-01;Männer;10-14;;3792;0.0;0;3773;0.0
2016;1;2016-01-01;Männer;10-14;;3809;0.0;0;3773;0.0
2016;2;2016-02-01;Männer;10-14;;3810;0.0;0;3773;0.0
2016;7;2016-07-01;Männer;10-14;;3796;0.0;0;3773;0.0
2016;8;2016-08-01;Männer;10-14;;3826;0.0;0;3773;0.0
2017;9;2017-09-01;Männer;10-14;;3878;0.0;0;3773;0.0
2017;11;2017-11-01;Männer;10-14;;3906;0.0;0;3773;0.0
2017;12;2017-12-01;Männer;10-14;;3923;0.0;0;3773;0.0
2018;3;2018-03-01;Männer;10-14;;3959;0.0;0;3773;0.0
2018;4;2018-04-01;Männer;10-14;;3957;0.0;0;3773;0.0
2018;12;2018-12-01;Männer;10-14;;4027;0.0;0;3773;0.0
2019;9;2019-09-01;Männer;10-14;;4045;0.0;0;3773;0.0
2019;10;2019-10-01;Männer;10-14;;4032;0.0;0;3773;0.0
2019;11;2019-11-01;Männer;10-14;;4028;0.0;0;3773;0.0
2020;3;2020-03-01;Männer;10-14;;4050;0.0;0;3773;0.0
2020;5;2020-05-01;Männer;10-14;;4057;0.0;0;3773;0.0
2020;6;2020-06-01;Männer;10-14;;4060;0.0;0;3773;0.0
2020;9;2020-09-01;Männer;10-14;;4080;0.0;0;3773;0.0
2020;10;2020-10-01;Männer;10-14;;4094;0.0;0;3773;0.0
2020;11;2020-11-01;Männer;10-14;;4107;0.0;0;3773;0.0
2020;12;2020-12-01;Männer;10-14;;4117;0.0;0;3773;0.0
2021;4;2021-04-01;Männer;10-14;;4135;0.0;0;3773;0.0
2021;6;2021-06-01;Männer;10-14;;4148;0.0;0;3773;0.0
2021;7;2021-07-01;Männer;10-14;;4161;0.0;0;3773;0.0
2021;8;2021-08-01;Männer;10-14;;4155;0.0;0;3773;0.0
2021;9;2021-09-01;Männer;10-14;1;4148;0.241;1;3773;0.241
2021;11;2021-11-01;Männer;10-14;;4155;0.0;0;3773;0.0
2021;12;2021-12-01;Männer;10-14;;4163;0.0;0;3773;0.0
2022;1;2022-01-01;Männer;10-14;;4146;0.0;0;3773;0.0
2022;4;2022-04-01;Männer;10-14;;4258;0.0;0;3773;0.0
2022;9;2022-09-01;Männer;10-14;;4340;0.0;0;3773;0.0
2022;11;2022-11-01;Männer;10-14;;4351;0.0;0;3773;0.0
2023;2;2023-02-01;Männer;10-14;;4385;0.0;0;3773;0.0
2023;3;2023-03-01;Männer;10-14;;4409;0.0;0;3773;0.0
2023;9;2023-09-01;Männer;10-14;;4419;0.0;0;3773;0.0
2023;10;2023-10-01;Männer;10-14;;4431;0.0;0;3773;0.0
2023;11;2023-11-01;Männer;10-14;;4450;0.0;0;3773;0.0
2024;2;2024-02-01;Männer;10-14;;4494;0.0;0;3773;0.0
2024;3;2024-03-01;Männer;10-14;;4499;0.0;0;3773;0.0
2024;4;2024-04-01;Männer;10-14;;4510;0.0;0;3773;0.0
2024;7;2024-07-01;Männer;10-14;;4570;0.0;0;3773;0.0
2024;8;2024-08-01;Männer;10-14;;4605;0.0;0;3773;0.0
2024;10;2024-10-01;Männer;10-14;;4657;0.0;0;3773;0.0
2025;1;2025-01-01;Männer;10-14;;4690;0.0;0;3773;0.0
2025;9;2025-09-01;Männer;10-14;;4754;0.0;0;3773;0.0
2012;1;2012-01-01;Männer;100+;;9;0.0;0;9;0.0
2012;4;2012-04-01;Männer;100+;1;10;100.0;1;9;100.0
2012;8;2012-08-01;Männer;100+;;9;0.0;0;9;0.0
2012;9;2012-09-01;Männer;100+;;9;0.0;0;9;0.0
2013;2;2013-02-01;Männer;100+;2;9;222.22;2;9;222.22
2013;5;2013-05-01;Männer;100+;;9;0.0;0;9;0.0
2013;6;2013-06-01;Männer;100+;;11;0.0;0;9;0.0
2013;7;2013-07-01;Männer;100+;1;11;95.238;1;9;95.238
2013;9;2013-09-01;Männer;100+;;12;0.0;0;9;0.0
2013;11;2013-11-01;Männer;100+;;12;0.0;0;9;0.0
2014;4;2014-04-01;Männer;100+;;16;0.0;0;9;0.0
2014;7;2014-07-01;Männer;100+;2;16;125.0;1;9;125.0
2014;9;2014-09-01;Männer;100+;;17;0.0;0;9;0.0
2014;11;2014-11-01;Männer;100+;;17;0.0;0;9;0.0
2015;7;2015-07-01;Männer;100+;;12;0.0;0;9;0.0
2016;7;2016-07-01;Männer;100+;;14;0.0;0;9;0.0
2016;8;2016-08-01;Männer;100+;1;14;71.429;1;9;71.429
2016;9;2016-09-01;Männer;100+;;15;0.0;0;9;0.0
2016;12;2016-12-01;Männer;100+;3;14;214.29;2;9;214.29
2017;1;2017-01-01;Männer;100+;;14;0.0;0;9;0.0
2017;5;2017-05-01;Männer;100+;;12;0.0;0;9;0.0
2017;7;2017-07-01;Männer;100+;;14;0.0;0;9;0.0
2017;9;2017-09-01;Männer;100+;1;15;68.966;1;9;68.966
2017;12;2017-12-01;Männer;100+;3;15;200.0;2;9;200.0
2018;5;2018-05-01;Männer;100+;1;13;76.923;1;9;76.923
2018;6;2018-06-01;Männer;100+;2;13;160.0;1;9;160.0
2018;7;2018-07-01;Männer;100+;;12;0.0;0;9;0.0
2018;9;2018-09-01;Männer;100+;1;13;76.923;1;9;76.923
2018;10;2018-10-01;Männer;100+;2;12;173.91;2;9;173.91
2019;3;2019-03-01;Männer;100+;;10;0.0;0;9;0.0
2019;11;2019-11-01;Männer;100+;3;12;250.0;2;9;250.0
2020;4;2020-04-01;Männer;100+;1;14;74.074;1;9;74.074
2020;5;2020-05-01;Männer;100+;;14;0.0;0;9;0.0
2020;10;2020-10-01;Männer;100+;2;11;190.48;2;9;190.48
2021;2;2021-02-01;Männer;100+;;9;0.0;0;9;0.0
2021;3;2021-03-01;Männer;100+;;9;0.0;0;9;0.0
2021;4;2021-04-01;Männer;100+;1;9;111.11;1;9;111.11
2021;5;2021-05-01;Männer;100+;;9;0.0;0;9;0.0
2021;9;2021-09-01;Männer;100+;1;9;111.11;1;9;111.11
2021;10;2021-10-01;Männer;100+;1;9;111.11;1;9;111.11
2021;11;2021-11-01;Männer;100+;;9;0.0;0;9;0.0
2021;12;2021-12-01;Männer;100+;2;8;250.0;2;9;250.0
2022;2;2022-02-01;Männer;100+;;4;0.0;0;9;0.0
2022;3;2022-03-01;Männer;100+;;5;0.0;0;9;0.0
2022;5;2022-05-01;Männer;100+;;7;0.0;0;9;0.0
2022;9;2022-09-01;Männer;100+;;9;0.0;0;9;0.0
2022;11;2022-11-01;Männer;100+;;10;0.0;0;9;0.0
2023;1;2023-01-01;Männer;100+;;12;0.0;0;9;0.0
2023;2;2023-02-01;Männer;100+;;13;0.0;0;9;0.0
2023;5;2023-05-01;Männer;100+;;15;0.0;0;9;0.0
2023;9;2023-09-01;Männer;100+;;14;0.0;0;9;0.0
2023;11;2023-11-01;Männer;100+;2;14;142.86;1;9;142.86
2024;1;2024-01-01;Männer;100+;;17;0.0;0;9;0.0
2024;5;2024-05-01;Männer;100+;;15;0.0;0;9;0.0
2024;6;2024-06-01;Männer;100+;;17;0.0;0;9;0.0
2025;5;2025-05-01;Männer;100+;;18;0.0;0;9;0.0
2025;7;2025-07-01;Männer;100+;2;17;121.21;1;9;121.21
2012;3;2012-03-01;Männer;15-19;;4099;0.0;0;4135;0.0
2012;4;2012-04-01;Männer;15-19;;4088;0.0;0;4135;0.0
2012;5;2012-05-01;Männer;15-19;;4096;0.0;0;4135;0.0
2012;8;2012-08-01;Männer;15-19;;4085;0.0;0;4135;0.0
2012;9;2012-09-01;Männer;15-19;;4086;0.0;0;4135;0.0
2012;11;2012-11-01;Männer;15-19;;4081;0.0;0;4135;0.0
2013;3;2013-03-01;Männer;15-19;1;4048;0.247;1;4135;0.247
2013;12;2013-12-01;Männer;15-19;;4060;0.0;0;4135;0.0
2014;1;2014-01-01;Männer;15-19;;4075;0.0;0;4135;0.0
2014;2;2014-02-01;Männer;15-19;;4075;0.0;0;4135;0.0
2014;10;2014-10-01;Männer;15-19;1;4032;0.248;1;4135;0.248
2014;11;2014-11-01;Männer;15-19;1;4031;0.248;1;4135;0.248
2015;2;2015-02-01;Männer;15-19;;4020;0.0;0;4135;0.0
2015;4;2015-04-01;Männer;15-19;;4004;0.0;0;4135;0.0
2015;10;2015-10-01;Männer;15-19;;4052;0.0;0;4135;0.0
2016;1;2016-01-01;Männer;15-19;;4116;0.0;0;4135;0.0
2016;4;2016-04-01;Männer;15-19;;4127;0.0;0;4135;0.0
2016;5;2016-05-01;Männer;15-19;;4109;0.0;0;4135;0.0
2016;7;2016-07-01;Männer;15-19;;4065;0.0;0;4135;0.0
2016;8;2016-08-01;Männer;15-19;;4068;0.0;0;4135;0.0
2016;10;2016-10-01;Männer;15-19;;4102;0.0;0;4135;0.0
2016;12;2016-12-01;Männer;15-19;;4103;0.0;0;4135;0.0
2017;6;2017-06-01;Männer;15-19;;4046;0.0;0;4135;0.0
2017;9;2017-09-01;Männer;15-19;;4069;0.0;0;4135;0.0
2017;10;2017-10-01;Männer;15-19;;4075;0.0;0;4135;0.0
2018;5;2018-05-01;Männer;15-19;;4006;0.0;0;4135;0.0
2018;7;2018-07-01;Männer;15-19;;3996;0.0;0;4135;0.0
2018;11;2018-11-01;Männer;15-19;;4034;0.0;0;4135;0.0
2019;5;2019-05-01;Männer;15-19;;3956;0.0;0;4135;0.0
2019;7;2019-07-01;Männer;15-19;;3969;0.0;0;4135;0.0
2020;1;2020-01-01;Männer;15-19;;3982;0.0;0;4135;0.0
2020;4;2020-04-01;Männer;15-19;;3972;0.0;0;4135;0.0
2020;6;2020-06-01;Männer;15-19;;3967;0.0;0;4135;0.0
2020;11;2020-11-01;Männer;15-19;;4015;0.0;0;4135;0.0
2020;12;2020-12-01;Männer;15-19;;4002;0.0;0;4135;0.0
2021;6;2021-06-01;Männer;15-19;;3972;0.0;0;4135;0.0
2022;4;2022-04-01;Männer;15-19;1;4095;0.244;1;4135;0.244
2022;11;2022-11-01;Männer;15-19;;4209;0.0;0;4135;0.0
2022;12;2022-12-01;Männer;15-19;;4236;0.0;0;4135;0.0
2023;1;2023-01-01;Männer;15-19;;4252;0.0;0;4135;0.0
2023;2;2023-02-01;Männer;15-19;;4267;0.0;0;4135;0.0
2023;6;2023-06-01;Männer;15-19;;4305;0.0;0;4135;0.0
2023;8;2023-08-01;Männer;15-19;;4328;0.0;0;4135;0.0
2023;11;2023-11-01;Männer;15-19;;4384;0.0;0;4135;0.0
2024;5;2024-05-01;Männer;15-19;;4394;0.0;0;4135;0.0
2024;6;2024-06-01;Männer;15-19;;4391;0.0;0;4135;0.0
2024;7;2024-07-01;Männer;15-19;;4396;0.0;0;4135;0.0
2024;8;2024-08-01;Männer;15-19;;4392;0.0;0;4135;0.0
2024;10;2024-10-01;Männer;15-19;;4444;0.0;0;4135;0.0
2025;1;2025-01-01;Männer;15-19;;4468;0.0;0;4135;0.0
2025;2;2025-02-01;Männer;15-19;;4464;0.0;0;4135;0.0
2025;3;2025-03-01;Männer;15-19;;4473;0.0;0;4135;0.0
2025;4;2025-04-01;Männer;15-19;;4486;0.0;0;4135;0.0
2025;5;2025-05-01;Männer;15-19;;4478;0.0;0;4135;0.0
2025;6;2025-06-01;Männer;15-19;;4471;0.0;0;4135;0.0
2025;8;2025-08-01;Männer;15-19;;4496;0.0;0;4135;0.0
2025;9;2025-09-01;Männer;15-19;;4528;0.0;0;4135;0.0
2012;2;2012-02-01;Männer;20-24;;5562;0.0;0;5568;0.0
2012;3;2012-03-01;Männer;20-24;;5583;0.0;0;5568;0.0
2012;10;2012-10-01;Männer;20-24;;5646;0.0;0;5568;0.0
2013;4;2013-04-01;Männer;20-24;;5714;0.0;0;5568;0.0
2013;5;2013-05-01;Männer;20-24;;5712;0.0;0;5568;0.0
2013;9;2013-09-01;Männer;20-24;;5641;0.0;0;5568;0.0
2013;12;2013-12-01;Männer;20-24;;5676;0.0;0;5568;0.0
2014;1;2014-01-01;Männer;20-24;;5644;0.0;0;5568;0.0
2014;2;2014-02-01;Männer;20-24;;5624;0.0;0;5568;0.0
2014;8;2014-08-01;Männer;20-24;;5566;0.0;0;5568;0.0
2014;9;2014-09-01;Männer;20-24;1;5577;0.179;1;5568;0.179
2014;11;2014-11-01;Männer;20-24;;5616;0.0;0;5568;0.0
2015;1;2015-01-01;Männer;20-24;;5620;0.0;0;5568;0.0
2015;3;2015-03-01;Männer;20-24;;5593;0.0;0;5568;0.0
2015;10;2015-10-01;Männer;20-24;;5574;0.0;0;5568;0.0
2016;1;2016-01-01;Männer;20-24;;5577;0.0;0;5568;0.0
2016;6;2016-06-01;Männer;20-24;;5565;0.0;0;5568;0.0
2016;8;2016-08-01;Männer;20-24;;5478;0.0;0;5568;0.0
2016;9;2016-09-01;Männer;20-24;;5456;0.0;0;5568;0.0
2016;11;2016-11-01;Männer;20-24;;5455;0.0;0;5568;0.0
2016;12;2016-12-01;Männer;20-24;1;5421;0.184;1;5568;0.184
2017;7;2017-07-01;Männer;20-24;;5312;0.0;0;5568;0.0
2017;11;2017-11-01;Männer;20-24;;5314;0.0;0;5568;0.0
2018;1;2018-01-01;Männer;20-24;;5283;0.0;0;5568;0.0
2018;3;2018-03-01;Männer;20-24;;5282;0.0;0;5568;0.0
2018;4;2018-04-01;Männer;20-24;;5284;0.0;0;5568;0.0
2018;9;2018-09-01;Männer;20-24;;5229;0.0;0;5568;0.0
2019;9;2019-09-01;Männer;20-24;;5151;0.0;0;5568;0.0
2020;2;2020-02-01;Männer;20-24;;5198;0.0;0;5568;0.0
2020;7;2020-07-01;Männer;20-24;1;5137;0.195;1;5568;0.195
2020;10;2020-10-01;Männer;20-24;;5202;0.0;0;5568;0.0
2021;4;2021-04-01;Männer;20-24;;5260;0.0;0;5568;0.0
2021;7;2021-07-01;Männer;20-24;;5119;0.0;0;5568;0.0
2022;5;2022-05-01;Männer;20-24;;5205;0.0;0;5568;0.0
2022;6;2022-06-01;Männer;20-24;1;5186;0.193;1;5568;0.193
2022;8;2022-08-01;Männer;20-24;;5122;0.0;0;5568;0.0
2022;11;2022-11-01;Männer;20-24;;5223;0.0;0;5568;0.0
2022;12;2022-12-01;Männer;20-24;;5225;0.0;0;5568;0.0
2023;1;2023-01-01;Männer;20-24;;5213;0.0;0;5568;0.0
2023;2;2023-02-01;Männer;20-24;;5198;0.0;0;5568;0.0
2023;4;2023-04-01;Männer;20-24;;5198;0.0;0;5568;0.0
2023;6;2023-06-01;Männer;20-24;;5159;0.0;0;5568;0.0
2023;8;2023-08-01;Männer;20-24;;5144;0.0;0;5568;0.0
2023;9;2023-09-01;Männer;20-24;;5169;0.0;0;5568;0.0
2023;11;2023-11-01;Männer;20-24;;5258;0.0;0;5568;0.0
2024;4;2024-04-01;Männer;20-24;;5280;0.0;0;5568;0.0
2024;5;2024-05-01;Männer;20-24;;5276;0.0;0;5568;0.0
2024;9;2024-09-01;Männer;20-24;;5186;0.0;0;5568;0.0
2025;1;2025-01-01;Männer;20-24;;5321;0.0;0;5568;0.0
2025;2;2025-02-01;Männer;20-24;1;5318;0.188;1;5568;0.188
2025;9;2025-09-01;Männer;20-24;;5350;0.0;0;5568;0.0
2012;2;2012-02-01;Männer;25-29;;7816;0.0;0;7795;0.0
2012;4;2012-04-01;Männer;25-29;;7799;0.0;0;7795;0.0
2012;7;2012-07-01;Männer;25-29;;7805;0.0;0;7795;0.0
2012;8;2012-08-01;Männer;25-29;2;7799;0.256;2;7795;0.256
2012;9;2012-09-01;Männer;25-29;;7777;0.0;0;7795;0.0
2012;12;2012-12-01;Männer;25-29;;7773;0.0;0;7795;0.0
2013;1;2013-01-01;Männer;25-29;;7782;0.0;0;7795;0.0
2013;2;2013-02-01;Männer;25-29;1;7778;0.129;1;7795;0.129
2013;3;2013-03-01;Männer;25-29;;7766;0.0;0;7795;0.0
2013;6;2013-06-01;Männer;25-29;;7784;0.0;0;7795;0.0
2013;9;2013-09-01;Männer;25-29;1;7853;0.127;1;7795;0.127
2013;11;2013-11-01;Männer;25-29;;7864;0.0;0;7795;0.0
2013;12;2013-12-01;Männer;25-29;1;7855;0.127;1;7795;0.127
2014;4;2014-04-01;Männer;25-29;;7904;0.0;0;7795;0.0
2014;6;2014-06-01;Männer;25-29;;7902;0.0;0;7795;0.0
2014;10;2014-10-01;Männer;25-29;;7847;0.0;0;7795;0.0
2015;1;2015-01-01;Männer;25-29;1;7789;0.128;1;7795;0.128
2015;2;2015-02-01;Männer;25-29;1;7806;0.128;1;7795;0.128
2015;4;2015-04-01;Männer;25-29;;7836;0.0;0;7795;0.0
2015;6;2015-06-01;Männer;25-29;;7796;0.0;0;7795;0.0
2015;9;2015-09-01;Männer;25-29;;7840;0.0;0;7795;0.0
2016;2;2016-02-01;Männer;25-29;;7878;0.0;0;7795;0.0
2016;6;2016-06-01;Männer;25-29;;7864;0.0;0;7795;0.0
2017;1;2017-01-01;Männer;25-29;;7864;0.0;0;7795;0.0
2017;2;2017-02-01;Männer;25-29;;7887;0.0;0;7795;0.0
2017;3;2017-03-01;Männer;25-29;;7902;0.0;0;7795;0.0
2017;5;2017-05-01;Männer;25-29;;7859;0.0;0;7795;0.0
2017;6;2017-06-01;Männer;25-29;;7838;0.0;0;7795;0.0
2017;8;2017-08-01;Männer;25-29;1;7803;0.128;1;7795;0.128
2017;9;2017-09-01;Männer;25-29;;7822;0.0;0;7795;0.0
2018;2;2018-02-01;Männer;25-29;;7837;0.0;0;7795;0.0
2018;9;2018-09-01;Männer;25-29;;7811;0.0;0;7795;0.0
2018;12;2018-12-01;Männer;25-29;;7841;0.0;0;7795;0.0
2019;1;2019-01-01;Männer;25-29;;7809;0.0;0;7795;0.0
2019;3;2019-03-01;Männer;25-29;;7793;0.0;0;7795;0.0
2019;5;2019-05-01;Männer;25-29;;7830;0.0;0;7795;0.0
2019;8;2019-08-01;Männer;25-29;1;7811;0.128;1;7795;0.128
2020;1;2020-01-01;Männer;25-29;;7788;0.0;0;7795;0.0
2020;3;2020-03-01;Männer;25-29;;7810;0.0;0;7795;0.0
2020;4;2020-04-01;Männer;25-29;1;7808;0.128;1;7795;0.128
2020;5;2020-05-01;Männer;25-29;;7785;0.0;0;7795;0.0
2020;9;2020-09-01;Männer;25-29;1;7695;0.13;1;7795;0.13
2020;11;2020-11-01;Männer;25-29;;7730;0.0;0;7795;0.0
2021;1;2021-01-01;Männer;25-29;;7737;0.0;0;7795;0.0
2021;4;2021-04-01;Männer;25-29;;7738;0.0;0;7795;0.0
2021;6;2021-06-01;Männer;25-29;;7711;0.0;0;7795;0.0
2021;11;2021-11-01;Männer;25-29;1;7681;0.13;1;7795;0.13
2022;1;2022-01-01;Männer;25-29;1;7713;0.13;1;7795;0.13
2022;2;2022-02-01;Männer;25-29;;7727;0.0;0;7795;0.0
2022;4;2022-04-01;Männer;25-29;;7740;0.0;0;7795;0.0
2022;7;2022-07-01;Männer;25-29;;7733;0.0;0;7795;0.0
2022;9;2022-09-01;Männer;25-29;;7681;0.0;0;7795;0.0
2022;10;2022-10-01;Männer;25-29;;7676;0.0;0;7795;0.0
2022;11;2022-11-01;Männer;25-29;;7665;0.0;0;7795;0.0
2023;1;2023-01-01;Männer;25-29;2;7669;0.261;2;7795;0.261
2023;2;2023-02-01;Männer;25-29;1;7679;0.13;1;7795;0.13
2023;3;2023-03-01;Männer;25-29;;7670;0.0;0;7795;0.0
2023;4;2023-04-01;Männer;25-29;;7667;0.0;0;7795;0.0
2023;6;2023-06-01;Männer;25-29;1;7638;0.131;1;7795;0.131
2023;7;2023-07-01;Männer;25-29;;7635;0.0;0;7795;0.0
2023;8;2023-08-01;Männer;25-29;;7620;0.0;0;7795;0.0
2023;9;2023-09-01;Männer;25-29;;7612;0.0;0;7795;0.0
2023;10;2023-10-01;Männer;25-29;;7624;0.0;0;7795;0.0
2023;11;2023-11-01;Männer;25-29;;7630;0.0;0;7795;0.0
2023;12;2023-12-01;Männer;25-29;1;7609;0.131;1;7795;0.131
2024;1;2024-01-01;Männer;25-29;;7615;0.0;0;7795;0.0
2024;3;2024-03-01;Männer;25-29;;7654;0.0;0;7795;0.0
2024;5;2024-05-01;Männer;25-29;2;7611;0.263;2;7795;0.263
2024;9;2024-09-01;Männer;25-29;;7510;0.0;0;7795;0.0
2024;10;2024-10-01;Männer;25-29;1;7536;0.133;1;7795;0.133
2024;11;2024-11-01;Männer;25-29;;7548;0.0;0;7795;0.0
2024;12;2024-12-01;Männer;25-29;;7532;0.0;0;7795;0.0
2025;1;2025-01-01;Männer;25-29;1;7546;0.133;1;7795;0.133
2025;2;2025-02-01;Männer;25-29;;7572;0.0;0;7795;0.0
2025;8;2025-08-01;Männer;25-29;;7689;0.0;0;7795;0.0
2025;9;2025-09-01;Männer;25-29;;7725;0.0;0;7795;0.0
2012;3;2012-03-01;Männer;30-34;;8020;0.0;0;7998;0.0
2012;4;2012-04-01;Männer;30-34;;8044;0.0;0;7998;0.0
2012;5;2012-05-01;Männer;30-34;1;8057;0.124;1;7998;0.124
2012;7;2012-07-01;Männer;30-34;;8084;0.0;0;7998;0.0
2012;9;2012-09-01;Männer;30-34;;8087;0.0;0;7998;0.0
2012;10;2012-10-01;Männer;30-34;;8131;0.0;0;7998;0.0
2013;1;2013-01-01;Männer;30-34;;8195;0.0;0;7998;0.0
2013;3;2013-03-01;Männer;30-34;1;8225;0.122;1;7998;0.122
2013;7;2013-07-01;Männer;30-34;1;8305;0.12;1;7998;0.12
